,item_id,labels,en,es-CO,de,fr
785,same-different-selection-instruct1,same-different-selection,"This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","C'est le jeu qui correspond, dans ce jeu, vous allez choisir des jeux de cartes qui correspondent d'une manière ou d'une autre. Tout d'abord, regardons quelques-unes des cartes que vous allez voir."
786,same-different-selection-touch-circle,same-different-selection,Choose the card with a circle.,Escoge la carta que tiene un círculo.,Wähle die Karte mit einem Kreis.,Choisissez la carte avec un cercle.
787,same-different-selection-touch-square,same-different-selection,Choose the card with a square.,Escoge la carta que tiene un cuadrado.,Wähle die Karte mit einem Quadrat. ,Choisissez la carte avec un carré.
788,same-different-selection-touch-triangle,same-different-selection,Choose the card with a triangle.,Escoge la carta que tiene un triángulo.,Wähle die Karte mit einem Dreieck.,Choisissez la carte avec un triangle.
789,same-different-selection-touch-star,same-different-selection,Choose the card with a star.,Escoge la carta que tiene una estrella.,Wähle die Karte mit einem Stern.,Choisissez la carte avec une étoile.
790,same-different-selection-touch-green,same-different-selection,Choose the card with a green shape.,Escoge la carta que tiene una figura verde.,Wähle die Karte mit einer grünen Form.,Choisissez la carte avec une forme verte.
791,same-different-selection-touch-red,same-different-selection,Choose the card with a red shape.,Escoge la carta que tiene una figura roja.,Wähle die Karte mit einer roten Form.,Choisissez la carte avec une forme rouge.
792,same-different-selection-touch-blue,same-different-selection,Choose the card with a blue shape.,Escoge la carta que tiene una figura azul.,Wähle die Karte mit einer blauen Form.,Choisissez la carte avec une forme bleue.
793,same-different-selection-touch-yellow,same-different-selection,Choose the card with a yellow shape.,Escoge la carta que tiene una figura amarilla.,Wähle die Karte mit einer gelben Form.,Choisissez la carte avec une forme jaune.
794,same-different-selection-touch-small,same-different-selection,Choose the card with a small shape.,Escoge la carta que tiene una figura pequeña.,Wähle die Karte mit einer kleinen Form.,Choisissez la carte avec une petite forme.
795,same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.,Escoge la carta que tiene una figura mediana.,Wähle die Karte mit einer mittelgroßen Form.,Choisissez une carte de taille moyenne.
796,same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.,Escoge la carta que tiene una figura grande.,Wähle die Karte mit einer großen Form.,Choisissez la carte avec une grande forme.
797,same-different-selection-touch-white,same-different-selection,Choose the star on the white card.,Escoge la estrella en la carta blanca.,Wähle den Stern auf der weißen Karte.,Choisissez l'étoile sur la carte blanche.
798,same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.,Escoge la estrella en la carta gris.,Wähle den Stern auf der grauen Karte.,Choisissez l'étoile sur la carte grise.
799,same-different-selection-touch-black,same-different-selection,Choose the star on the black card.,Escoge la estrella en la carta negra.,Wähle den Stern auf der schwarzen Karte.,Choisissez l'étoile sur la carte noire.
800,same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.,Escoge la estrella en la carta con rayas.,Wähle den Stern auf der gestreiften Karte.,Choisissez l'étoile sur la carte à rayures.
801,same-different-selection-touch-1,same-different-selection,Choose the card with 1 star.,Escoge la carta con 1 estrella.,Wähle die Karte mit einem Stern.,Choisissez la carte avec 1 étoile.
802,same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.,Escoge la carta con 2 estrellas.,Wähle die Karte mit zwei Sternen.,Choisissez la carte avec 2 étoiles.
803,same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.,Escoge la carta con 3 estrellas.,Wähle die Karte mit drei Sternen.,Choisissez la carte avec 3 étoiles.
804,same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.,Escoge la carta con 4 estrellas.,Wähle die Karte mit vier Sternen.,Choisissez la carte avec 4 étoiles.
805,same-different-selection-instruct2,same-different-selection,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,Ahora vas a ver dos cartas que son iguales de alguna manera. Luego vas a ver una nueva carta que se parece a una de esas cartas. Tu trabajo es elegir la carta que se parece en algo a esa nueva carta.,"Jetzt siehst du zwei Karten, die in einer Hinsicht gleich sind. Dann siehst du eine neue Karte, die einer der ersten beiden Karten ähnlich ist. Deine Aufgabe ist es, die Karte zu wählen, die der neuen Karte ähnlich ist.","Maintenant, tu vas voir deux cartes qui sont les mêmes d'une façon. Vous verrez alors une nouvelle carte similaire à l'une de ces cartes. Votre tâche est de choisir la carte qui est similaire à la nouvelle carte."
806,same-different-selection-instruct3,same-different-selection,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.","Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver las mismas tres cartas, pero  vas a escoger otras dos cartas que sean iguales de alguna otra manera.","Jetzt siehst du drei Karten und wählst zwei aus, die auf irgendeine Weise gleich sind. Dann siehst du dieselben Karten noch einmal und wählst zwei Karten aus, die auf eine andere Weise gleich sind.","Maintenant tu vas voir trois cartes, et tu vas en choisir deux qui sont les mêmes d'une manière ou d'une autre. Ensuite, vous allez revoir les mêmes cartes, et choisir deux cartes qui sont les mêmes d'une manière différente."
807,same-different-selection-both-circles,same-different-selection,Here are two cards. Something's the same. They both have circles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen círculos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Kreise.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux des cercles.
808,same-different-selection-both-squares,same-different-selection,Here are two cards. Something's the same. They both have squares.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen cuadrados.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Quadrate.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux des carrés.
809,same-different-selection-both-triangles,same-different-selection,Here are two cards. Something's the same. They both have triangles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen triángulos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Dreiecke.,Voici deux cartes. Quelque chose est le même. Ils ont tous deux des triangles.
810,same-different-selection-both-red,same-different-selection,Here are two cards. Something's the same. They both have red shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras rojas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Formen.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux des formes rouges.
811,same-different-selection-both-green,same-different-selection,Here are two cards. Something's the same. They both have green shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras verdes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen grüne Formen.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux des formes vertes.
812,same-different-selection-both-yellow,same-different-selection,Here are two cards. Something's the same. They both have yellow shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras amarillas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen gelbe Formen.,Voici deux cartes. Quelque chose est pareil. Elles ont toutes deux des formes jaunes.
813,same-different-selection-both-blue,same-different-selection,Here are two cards. Something's the same. They both have blue shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras azules.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen blaue Formen.,Voici deux cartes. Quelque chose est pareil. Elles ont toutes deux des formes bleues.
814,same-different-selection-both-small,same-different-selection,Here are two cards. Something's the same. They both have small shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras pequeñas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen kleine Formen.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux de petites formes.
815,same-different-selection-both-medium,same-different-selection,Here are two cards. Something's the same. They both have medium-sized shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras medianas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen mittelgroße Formen.,"Voici deux cartes. Quelque chose est pareil, elles ont toutes deux des formes de taille moyenne."
816,same-different-selection-both-large,same-different-selection,Here are two cards. Something's the same. They both have large shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras grandes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen große Formen.,Voici deux cartes. Quelque chose est pareil. Ils ont tous deux de grandes formes.
817,sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,Hier ist eine weitere Karte. Welche Karte sieht dieser ähnlich? ,Voici une autre carte. Lequel de ces cartes est similaire à celle-ci?
818,sds-3match-prompt2,same-different-selection,Here is the same set of cards again. Choose two cards that are the same in a different way.,Aquí están otra vez las mismas cartas. Ahora debe escoger dos cartas que sean pareja porque son iguales en algo diferente.,"Hier siehst du die gleichen Karten nochmal. Wähle zwei Bilder aus, die auf unterschiedliche Art und Weise gleich sind.",Voici à nouveau le même jeu de cartes. Choisissez deux cartes qui sont les mêmes d'une manière différente.
819,sds-2match-prompt1,same-different-selection,Here is a new set of cards. Choose two cards that are the same in some way.,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto. ,"Hier sind neue Karten. Wähle zwei Karten aus, die in irgendeiner Weise gleich sind.",Voici un nouvel ensemble de cartes. Choisissez deux cartes qui sont les mêmes d'une manière ou d'une autre.
820,sds-2match-prompt2,same-different-selection,Choose two cards that are the same in a different way.,Escoge dos cartas que sean pareja porque son iguales en algo diferente. ,"Wähle zwei Karten, die auf unterschiedliche Weise gleich sind.",Choisissez deux cartes qui sont les mêmes d'une manière différente.
821,sds-3unique-prompt1,same-different-selection,Choose three cards that are the same in only one way.,Escoge tres cartas que sean iguales en un solo aspecto. ,"Wähle drei Karten aus, die in irgendeiner Weise gleich sind.",Choisissez trois cartes qui sont les mêmes d'une seule manière.
822,sds-3unique-prompt2,same-different-selection,Choose another three cards that are the same in only one way.,Escoge otras tres cartas que sean iguales en un solo aspecto.,"Wähle drei weitere Karten aus, die auf unterschiedliche Art und Weise gleich sind.",Choisissez trois autres cartes qui sont les mêmes d'une seule manière.
