old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_18_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_18_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_18_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_18_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
pages_4_elements_0_elements_2_elements_18_title,pages_4_elements_0_elements_0_elements_18_title,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),missing key,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),missing key,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS),Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS),missing key,missing key,Trastorno por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH),missing key,missing key,Trastorno por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH)
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_19_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_19_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_19_title,missing key,Does your child <b>CURRENTLY</b > have Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD)?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind <b>AKTUELL</b> eine Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS)?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene de trastorno por déficit de atención (TDA) o de trastorno por déficit de atención e hiperactividad (TDAH)?
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_1_title,missing key,Does your child <b>CURRENTLY</b> have Behavioral or Conduct Problems?,missing key,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,missing key,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,missing key,Hat Ihr Kind <b>AKTUELL</b> Verhaltens- oder Benehmensprobleme?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_20_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_20_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_20_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_20_title,pages_4_elements_0_elements_0_elements_20_title,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?","Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?",missing key,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?",missing key,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?","Ist die aktuelle Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS) leicht, mäßig oder schwerwiegend?","Ist die aktuelle Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS) leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿El trastorno actual por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH) es leve, moderado o severo?",missing key,missing key,"¿El trastorno actual por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH) es leve, moderado o severo?"
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_2_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_2_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_2_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_2_title,pages_4_elements_0_elements_0_elements_2_title,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?","Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?",missing key,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?",missing key,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?","Sind die aktuellen Verhaltens- oder Benehmensprobleme leicht, mäßig oder schwerwiegend?","Sind die aktuellen Verhaltens- oder Benehmensprobleme leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?",missing key,missing key,"¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?"
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_3_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_3_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_3_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_3_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
pages_4_elements_0_elements_2_elements_3_title,pages_4_elements_0_elements_0_elements_3_title,Developmental Delay,Developmental Delay,missing key,Developmental Delay,missing key,Developmental Delay,Entwicklungsverzögerung,Entwicklungsverzögerung,missing key,missing key,Atraso en el desarrollo,missing key,missing key,Atraso en el desarrollo
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_4_title,missing key,Does your child <b>CURRENTLY</b > have Developmental Delay?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind <b>AKTUELL</b> eine Entwicklungsverzögerung?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_5_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_5_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_5_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_5_title,pages_4_elements_0_elements_0_elements_5_title,"Are the current Developmental Delays, Mild, Moderate, or Severe?","Are the current Developmental Delays, Mild, Moderate, or Severe?",missing key,"Are the current Developmental Delays, Mild, Moderate, or Severe?",missing key,"Are the current Developmental Delays, Mild, Moderate, or Severe?","Sind die aktuellen Entwicklungsverzögerungen leicht, mäßig oder schwerwiegend?","Sind die aktuellen Entwicklungsverzögerungen leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿Los atrasos actuales del desarrollo son leves, moderados o severos?",missing key,missing key,"¿Los atrasos actuales del desarrollo son leves, moderados o severos?"
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_6_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_6_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_6_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_6_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
pages_4_elements_0_elements_2_elements_6_title,pages_4_elements_0_elements_0_elements_6_title,Intellectual Disability,Intellectual Disability,missing key,Intellectual Disability,missing key,Intellectual Disability,Geistige Behinderung,Geistige Behinderung,missing key,missing key,Discapacidad intelectual,missing key,missing key,Discapacidad intelectual
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_7_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_7_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_7_title,missing key,Does your child <b>CURRENTLY</b > have an Intellectual Disability?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind <b>AKTUELL</b> eine geistige Behinderung?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_8_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_8_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_8_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_8_title,pages_4_elements_0_elements_0_elements_8_title,"Is the current Intellectual Disability, Mild, Moderate, or Severe?","Is the current Intellectual Disability, Mild, Moderate, or Severe?",missing key,"Is the current Intellectual Disability, Mild, Moderate, or Severe?",missing key,"Is the current Intellectual Disability, Mild, Moderate, or Severe?","Ist die aktuelle geistige Behinderung leicht, mäßig oder schwerwiegend?","Ist die aktuelle geistige Behinderung leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿La discapacidad intelectual actual es leve, moderada o severa?",missing key,missing key,"¿La discapacidad intelectual actual es leve, moderada o severa?"
